28561501,Strong Signal,Romance,Romance,229,Megan Erickson,3.94
380326,Postmodern Times: A Christian Guide to Contemporary Thought and Culture,Philosophy,Cultural,256,Gene Edward Veith Jr.,4.14
13037321,Dream Chaser,Young-Adult,Romance,323,Angie Stanton,3.74
17202502,Found,Fantasy,Romance,234,Alyssa Rose Ivy,3.98
17622850,Mutilate My Heart,Young-Adult,Romance,203,Emily Godwin,3.87
5822279,Photo Opportunity,Romance,Adult-Fiction,244,Jess Dee,3.65
39986793,American Girl on Saturn,Young-Adult,Romance,341,Nikki Godwin,3.99
17566866,Found,New-Adult,Romance,228,Nadia Simonenko,3.84
2651714,Betting Hearts,Romance,Romance,220,Dee Tenorio,3.57
17369254,Resplendent,New-Adult,Romance,396,M.J. Abraham,3.65
17838885,Anywhere with You,New-Adult,Romance,217,Kaylee Ryan,4.13
42403315,Awaken,Romance,Romance,426,Nina Lane,4.14
17832415,Kade,New-Adult,Romance,256,Dawn Martens,3.98
34938088,Firsts,Romance,Adult-Fiction,74,Rosalie Stanton,3.63
18068511,Three Hearts One Soul,Romance,New-Adult,167,Bec Botefuhr,4.03
18081620,Reaper's Rhythm,Fantasy,Young-Adult,212,Clare Davidson,4.15
10418725,Insatiable,Romance,Adult-Fiction,254,Cari Quinn,3.97
18074803,Twist & Turn,Romance,See-top-shelves,304,Christa Simpson,3.93
6372526,Hot in Here,Romance,Romance,277,Sophie Renwick,3.78
26151032,Shelter,Romance,Contemporary,320,Ashley John,3.91
24449015,A Restored Man,Romance,Contemporary,363,Jaime Reese,4.23
19264127,Broken Mirrors Fractured Minds,Fiction,Horror,254,Carmilla Voiez,4.24
25932542,Blueberry Boys,Romance,Romance,186,Vanessa North,3.7
25782457,To the Highest Bidder,Science-Fiction,Romance,200,Caitlin Ricci,3.41
17909170,I Married a Billionaire: The Prodigal Son,Romance,Romance,203,Melanie Marchande,3.64
12032937,Turn It Up,Romance,Romance,230,Inez Kelley,3.86
22738703,Campus Cravings: Higher Learning MM Boxed Set,Anthologies,Romance,288,KyAnn Waters,3.62
36560993,Orion's Circle,Romance,Fantasy,156,Victoria Sue,3.98
24779481,Silent Woods,Romance,Lgbt,60,Ofelia Grnd,3.88
36172258,Where Wishes Go,Romance,Contemporary,246,S.A. McAuley,4
26007671,Full Exposure,Romance,Contemporary,78,Amy Jo Cousins,3.78
18046019,Falling to Pieces,Paranormal,Romance,220,L.T. Kelly,3.98
21971980,Bender,Romance,New-Adult,315,Stacy Borel,4.03
25250468,Own Me,Romance,Erotica,344,Brina Brady,3.88
8089192,Connections,Adult-Fiction,Romance,52,Selena Kitt,3.56
25714229,Summer Bigger Than Others,Anthologies,Romance,562,K.C. Faelan,3.84
17936834,The Guys Are Props Club,New-Adult,Romance,256,Ingrid Seymour,4.04
25377645,Fair in Love,Romance,Music,230,Jerry Sacher,2.61
29601065,Letting Go,New-Adult,Romance,284,Jessica Ruddick,3.9
17612258,Undeclared,New-Adult,Romance,341,Jen Frederick,4
25751572,Playing for Keeps,Romance,Sports-and-Games,326,Avery Cockburn,4.01
25434231,Spell Bound,Romance,Fantasy,216,Jacob Z. Flores,3.83
27841589,Pitching to Win,Sports-and-Games,New-Adult,206,Carrie Aarons,3.89
17840262,Tension,New-Adult,Dark,280,R.L. Griffin,4.19
25585231,The Pinch of the Game,Romance,Fantasy,98,Charley Descoteaux,3.42
16207945,Faithful,Romance,New-Adult,421,Kelly Elliott,4.27
24696484,Shaken Up,Erotica,Romance,74,Nicole Forcine,3.62
24718312,Here Without You,Romance,Menage,216,Mia Kerick,3.86
27254019,Shh!,New-Adult,Romance,241,Stacey Nash,3.62
33968767,Eyes Unveiled,Romance,New-Adult,259,Crystal Walton,4.25
25359012,Chariots on the Highway,Romance,War,315,Limor Moyal,4.16
6922487,Three Wrong Turns in the Desert,Romance,Contemporary,334,Neil S. Plakcy,3.86
25897236,Victim of Love,Romance,Contemporary,211,Darien Cox,3.86
12987401,Bad Religion: How We Became a Nation of Heretics,Religion,Nonfiction,337,Ross Douthat,3.9
1640400,Walking Wounded,Romance,War,200,Lee Rowan,3.7
117967,Overcoming Sin & Temptation,Religion,Christian,462,John Owen,4.4
