46270,5,14
1310439,1,25
1009886,3,15
32987,5,11
15759307,2,98
673023,2,18
2827647,4,67
23746004,1,8
3656,5,11
22616635,2,6
310259,5,18
39298169,4,19
30751488,4,84
15707237,1,18
1373315,3,76
23259118,0,14
570736,2,18
25819519,5,90
52090,2,45
95602,3,56
321459,4,37
143943,4,45
23281932,0,23
26875004,2,90
42140571,5,5
40959068,4,44
13227268,2,23
251052,5,18
16140332,0,65
23944818,3,80
23017804,2,6
17910112,0,13
21518013,2,55
1391321,3,1
35156,1,15
881346,5,83
3391762,4,83
861326,3,7
23961798,4,10
485436,0,17
41561365,0,85
499225,4,5
6468957,2,39
1038936,4,75
17319335,4,51
17408269,1,21
4278916,4,3
15711844,5,12
28503165,0,24
72286,3,23
17306293,4,41
25606979,4,67
18901156,3,60
10286585,0,10
25883365,3,56
12775317,0,47
1149251,5,41
37649375,0,15
9578331,4,64
11709037,2,16
6138,1,7
18485973,4,19
19444805,2,41
20410869,5,1
23429684,0,64
32941909,1,11
14296667,1,53
8542838,4,17
18908199,4,11
18989148,0,95
13120860,1,1
21913812,3,4
29276588,4,93
42605684,1,5
1629601,5,32
34842042,0,4
8314214,1,75
25700544,5,33
248482,3,58
65161,1,95
1280960,2,50
25621424,3,21
18054664,5,0
1044355,1,13
980426,1,32
18599748,3,6
5984399,1,2
965513,4,7
17698410,1,69
23677341,5,51
28762288,1,50
27208797,5,65
4964367,1,21
17185496,2,16
25560329,5,95
17174,4,25
37508253,5,34
38107669,1,21
21825486,0,80
18246316,5,96
23878,2,28
436629,2,19
5287473,0,97
214576,4,98
8573653,1,13
17333269,3,94
36295656,0,49
685788,3,9
25168166,2,52
9948603,3,4
24367985,3,100
25564446,5,8
13019704,4,39
43127174,4,12
17908650,4,91
8805443,0,7
10818181,2,2
25214463,0,82
17968621,1,65
16061283,2,17
10814693,5,90
32109569,4,28
26829269,0,77
17191839,4,32
384579,0,28
38225791,1,0
32430,2,34
17286606,2,2
17256217,4,25
22847712,2,6
18405928,4,46
31390,1,59
816085,2,30
30112502,2,43
18721618,5,7
26186483,4,11
12012999,1,38
82676,1,4
490472,0,84
12535,1,8
9918083,4,3
22886113,0,19
844051,3,15
95707,4,75
18588657,5,68
11534309,0,73
4370,5,48
327847,5,12
436629,4,97
38474,5,42
126077,1,28
15995172,4,11
25978892,1,9
17910372,4,18
16234184,1,17
24126231,4,95
649532,2,70
132436,3,11
263176,0,87
17715867,1,51
9485409,1,12
126061,4,89
20381983,1,68
11085530,3,20
6572270,1,6
18342283,2,84
22552529,4,47
11145835,3,13
447434,5,6
6357994,1,65
27212267,1,42
293707,4,12
10866233,0,30
35712606,0,77
9645632,3,81
18459458,2,12
38723258,4,96
77772,4,3
296384,3,97
23398961,2,92
26028873,0,0
158770,2,2
288756,2,16
16058045,2,2
30037277,2,4
22457410,4,25
79787,1,10
24443961,2,3
17408302,5,57
24552096,0,28
23262621,2,33
78107,3,46
16047,3,14
18400078,2,12
23411528,0,5
15814529,0,6
17182066,1,38
1640400,3,47
16104287,2,9
34325522,3,59
93575,1,92
40941147,1,77
35380157,2,11
7726427,4,13
39836158,5,10
30119,2,62
7965765,4,0
821800,3,16
20328900,0,82
23587053,0,43
13512713,0,81
18683261,1,11
1311355,4,61
518492,2,89
50788,5,19
23245707,5,56
10836471,3,38
99110,3,12
22365433,5,84
23168954,5,27
22048461,0,9
2946919,2,5
40144459,0,92
22052456,0,1
109726,3,7
18154,5,23
23492735,4,54
37076222,5,67
18756550,3,75
3236819,0,4
2241059,1,13
11788433,0,9
17408508,4,8
6887618,5,0
13145689,2,89
686717,2,4
17900113,2,20
522534,1,11
17993033,4,15
12383252,1,84
47122,1,7
22367070,4,54
97595,0,85
22094910,5,11
82434,4,73
25852784,4,0
7129497,1,11
1898631,0,52
47401,3,100
12043770,5,10
8852,0,15
490476,4,8
13224787,1,7
23848325,4,95
40114260,2,14
9673577,1,30
163465,1,100
17855576,4,16
18485973,2,15
40046019,5,4
8316125,3,16
20550167,0,43
308581,5,58
15814557,2,17
12879875,0,78
2669470,5,8
22367070,2,70
29283087,0,10
18765,3,32
46064,1,22
7976029,5,36
17934453,5,77
12139991,0,91
34947549,4,15
1016600,1,50
572035,3,54
35534215,5,50
16125281,1,87
2490519,3,8
13037689,1,13
428862,2,17
29602483,4,73
25832342,3,42
2785752,1,8
5585365,3,23
15818029,4,87
34938088,5,57
1081531,2,12
22571272,5,10
18808267,3,16
1753334,2,70
17737211,1,1
53007,0,2
595586,3,81
29102849,2,71
3295696,3,54
18146387,1,20
33310128,3,5
36462258,5,8
25903764,3,11
102459,5,56
26760134,1,6
28005152,3,47
9570546,0,7
153480,1,71
6796044,1,73
9248359,4,18
6452798,2,1
15729128,2,87
15823425,4,23
16039255,1,73
458003,1,14
23162673,3,81
195606,2,20
13486172,4,8
17741592,5,1
27399973,0,0
18658071,3,8
28426,4,2
17568327,3,16
18018509,2,1
40795,0,83
1162185,1,77
8434205,0,63
15837618,5,70
13414830,4,12
7107515,4,16
31257244,4,9
16150996,1,1
18527498,1,8
36362234,2,18
5711852,0,41
22953594,1,3
26029548,1,77
18340649,1,13
35126704,1,68
22125258,0,6
12813860,3,2
13550926,1,18
20407756,4,9
2003625,5,61
317621,2,10
95887,4,13
25065,3,18
30324,5,36
682681,1,82
479525,2,75
34530776,0,89
29236380,3,16
12211330,0,6
21399149,0,6
3250465,2,85
1943376,4,82
1477557,1,97
23517731,1,10
7889078,3,17
20404905,5,9
7179686,3,71
186677,0,68
17194419,4,18
13630629,0,16
31423216,3,48
17883038,3,45
7317487,1,70
18952,0,5
17623975,0,31
23523867,4,11
36209818,0,1
16243990,4,16
104957,3,10
109728,4,12
769658,3,97
20740634,0,87
40644351,4,1
19460287,0,2
173233,1,32
16139294,3,15
18076372,4,4
6553859,0,23
13512914,0,63
17411148,5,0
9750705,2,71
816748,1,24
20435872,2,2
12037339,1,73
353342,2,95
28259094,5,0
22886113,1,70
18141144,4,4
7557790,1,16
6146985,0,15
28240174,4,32
4538,1,19
5497769,2,23
2243804,5,43
20729499,4,40
29414576,1,71
41015154,2,14
6392654,3,10
25883365,1,6
6547576,5,96
21825486,0,58
58,3,77
124523,5,3
16320,5,8
25778002,2,86
12578370,4,11
18209402,1,11
12384972,4,20
49614,1,57
2566077,3,82
18134013,2,13
22013040,1,22
16109754,2,85
24235463,0,18
8032544,5,18
706360,0,59
24736191,1,17
1547049,1,16
61539,2,81
9471031,1,16
15843166,1,88
3134981,2,10
35354355,5,0
18114110,2,65
2414846,0,17
30528535,4,9
33413958,0,26
8140731,4,88
7490715,0,20
25354011,2,77
9615212,0,31
2461776,2,28
7781732,1,73
1381691,1,89
682751,2,16
23252517,3,28
9409469,3,62
17339827,3,14
16146990,1,76
387749,4,13
18637162,5,13
11402002,0,73
8722254,2,16
444381,3,45
41150456,4,20
22075341,4,42
17374927,5,80
16243,0,85
27866099,3,36
108681,2,17
13479780,0,74
17404608,0,14
10188580,0,86
12901365,3,92
26046,2,1
18336450,1,12
24886016,3,61
19364719,1,53
48974,0,95
5585365,2,18
25116429,0,6
102142,1,86
20961131,2,50
20507453,0,93
16281097,0,9
17221425,1,14
7159016,0,2
498214,1,12
15790846,4,44
223534,1,76
3430742,2,6
26026041,2,94
17405850,0,74
20959720,3,8
1,5,15
17341528,4,61
18774964,1,19
23316660,5,3
26811887,2,68
36388243,4,12
486324,0,29
15781734,4,16
216177,2,13
25058360,4,46
16050872,3,2
10847,1,9
18680106,2,24
18335479,1,17
101065,0,23
13406403,4,11
18588591,4,15
5359,5,18
28503165,2,9
24107285,5,20
25549355,5,6
15784263,0,7
29361425,5,0
25041761,2,92
101911,1,7
143440,3,28
12159815,3,58
9752790,3,19
25669098,4,8
10397655,4,18
12810834,5,0
12240730,5,7
13581569,5,7
34440,4,75
17254529,5,10
17844678,5,27
26125085,0,22
191411,3,6
18104774,3,4
25377645,2,7
41188221,5,75
1258333,4,96
15733116,0,30
19486421,5,13
2391128,0,7
11830394,4,96
16064456,0,18
11962848,0,76
13516024,2,10
10664113,2,75
676003,5,16
38909528,0,15
24611962,2,4
6893663,1,18
6513616,5,17
8722254,1,16
7544649,5,14
33727,4,95
36437387,4,53
13633768,5,83
1394155,2,6
10757346,3,98
8603765,5,17
922118,5,19
16281097,1,1
17313873,1,30
17258541,2,95
28005065,3,62
18251073,4,7
27206481,1,80
15764032,3,4
1311355,4,4
20299991,3,7
23460958,5,77
16178117,0,40
2708177,3,11
18459458,1,90
23944818,4,54
397867,0,45
17221425,1,15
33895090,5,14
17841,0,23
25852784,2,6
6545486,5,15
13060111,5,10
17912177,1,44
23149096,3,10
892303,0,20
5232173,4,20
18667632,4,72
30090925,4,21
23245594,1,36
10729298,2,20
6186355,0,18
13249699,1,65
17832588,3,81
16171272,0,35
35795906,2,70
23754479,3,48
16077535,3,99
2241059,1,4
379659,3,1
18044868,3,19
36411984,2,4
12847774,5,0
366889,5,31
7098861,3,56
15719352,2,20
11787563,0,59
20657437,3,35
30638725,1,22
492069,4,12
5562474,2,87
37539001,1,12
195211,1,97
23285659,2,98
41153965,1,47
43130025,1,59
17383302,2,7
1243286,5,3
16432374,4,16
15818555,5,82
842940,3,4
7311068,0,6
17675462,4,62
9471514,0,61
14999813,2,9
20809,4,7
15158,0,28
12924307,0,77
264147,3,13
18114142,0,63
6056287,5,53
22500506,4,59
16127238,3,19
10008056,2,50
1774981,2,0
10563572,1,3
17737211,5,18
4117865,2,13
6534132,5,7
13158635,0,19
26201118,4,12
5711346,3,40
233712,0,4
745308,4,35
35187203,2,16
11301,0,19
18335791,2,37
17838475,0,77
