40623281,Preach.,Dark,Romance,272,Stylo Fantome,4.15
3864007,Mistress Shakespeare,Historical,Fiction,366,Karen Harper,3.8
41742052,Bryce,Romance,Contemporary,337,Lauren Runow,4.17
38649754,SEAL's Honor,Romance,Romance,352,Megan Crane,3.64
9435474,Equations of Life,Science-Fiction,Fiction,346,Simon Morden,3.9
8943906,The Uncoupling,Fiction,Literary-Fiction,271,Meg Wolitzer,3.51
41143305,Perfume Girl,Romance,Contemporary,328,Vanessa Fewings,4.29
7140917,Our Tragic Universe,Fiction,Contemporary,444,Scarlett Thomas,3.64
42291816,Maddox,Romance,See-top-shelves,194,Megan O'Brien,4.19
179734,Off Season,Horror,Fiction,308,Jack Ketchum,3.84
669100,Greybeard,Science-Fiction,Fiction,237,Brian W. Aldiss,3.88
41557322,Cherish,Dark,Romance,175,Olivia Ryann,4.23
591572,Jem,Science-Fiction,Fiction,364,Frederik Pohl,3.91
17233444,Final Colony Reloaded,Science-Fiction,Romance,552,Angelo Tsanatelis,4.03
42278964,Cold Cole Heart,Dark,Sociology,282,K.  Webster,4.12
11521295,Miracle on Regent Street,Womens-Fiction,Holiday,484,Ali Harris,3.89
41858472,Eggnog Makes Her Easy,Holiday,Romance,100,Erin Nicholas,4.14
6423044,The Space Between,Fiction,See-top-shelves,230,Erik Tomblin,3.75
104348,Raising the Stones,Science-Fiction,Fantasy,512,Sheri S. Tepper,3.95
41209130,Lines,Young-Adult,Romance,283,Anna B. Doe,3.93
65161,The Solitudes,Poetry,European-Literature,176,Luis de Gngora,3.98
352774,A Talent for War,Science-Fiction,Fiction,310,Jack McDevitt,3.81
2916542,Riding Temptation,Romance,Adult-Fiction,292,Jaci Burton,3.98
261625,The World Inside,Science-Fiction,Science-Fiction,233,Robert Silverberg,3.87
6540352,Alice I Have Been,Historical,Fantasy,345,Melanie Benjamin,3.77
13088405,In Rides Trouble,Romance,Romance,311,Julie Ann Walker,4.1
38894211,International Guy: London Berlin Washington DC,Romance,See-top-shelves,464,Audrey Carlan,4.07
373009,Biting the Sun,Fantasy,Science-Fiction,384,Tanith Lee,3.89
33783055,Before Girl,Romance,Romance,314,Kate Canterbary,4.24
