18782855,Princess of Thorns,Fantasy,Young-Adult,400,Stacey Jay,3.76
141860,The Science Fiction Hall of Fame: Volume One 1929-1964,Science-Fiction,Short-Stories,560,Robert Silverberg,3.87
817377,Lady Rogue,Romance,Romance,384,Suzanne Enoch,3.91
24040790,The Adventures of Armstrong Dent: The Complete First Season (Classified Armstrong Dent Adventures),Mystery,See-top-shelves,310,Aeyess,3.82
53064,Death in Venice and Other Tales,Fiction,Classics,384,Thomas Mann,3.94
644990,Disney's Mulan Classic Storybook (The Mouse Works Classics Collection),Childrens,Childrens,95,Lisa Ann Marsoli,4.1
2281,The Complete Stories of Truman Capote,Short-Stories,Fiction,320,Truman Capote,4.01
3590,The Adventures of Sherlock Holmes,Classics,Mystery,339,Arthur Conan Doyle,4.2
951749,The Dying Earth,Fantasy,Science-Fiction,156,Jack Vance,3.98
52873,The Lone Ranger and Tonto Fistfight in Heaven,Fiction,Short-Stories,242,Sherman Alexie,4.07
31624,The Complete Works of O. Henry,Classics,Fiction,1692,O. Henry,4.08
3607543,The Wild Orchid: A Retelling of The Ballad of Mulan,Fantasy,Fantasy,224,Cameron Dokey,3.78
23905939,Stories on the Go: 101 Very Short Stories by 101 Authors,Short-Stories,Fiction,464,Andrew Ashling,3.93
2153427,Princess Ben,Fantasy,Young-Adult,344,Catherine Gilbert Murdock,3.78
222093,City,Science-Fiction,Fiction,251,Clifford D. Simak,3.97
34511,Monstrous Regiment,Fantasy,Fiction,496,Terry Pratchett,4.15
6670287,The Collected Stories,Short-Stories,Fiction,733,Lydia Davis,4.07
2968,The Complete Short Stories of Mark Twain,Classics,Short-Stories,848,Mark Twain,3.86
8101452,Babe in Boyland,Young-Adult,Romance,292,Jody Gehrman,3.69
28382,Diary of a Madman and Other Stories ,Classics,Fiction,84,Nikolai Gogol,4.05
15792218,The Academy,Young-Adult,Romance,244,Emmaline Andrews,3.74
34383472,Twisted Sick,Horror,Short-Stories,273,Tyler Nals,3.78
1087204,Ouran High School Host Club Vol. 1,Sequential-Art,Romance,178,Bisco Hatori,4.42
27999,Close Range,Short-Stories,Fiction,285,Annie Proulx,3.88
12951,The Turn of the Screw and Other Short Fiction,Classics,Fiction,527,Henry James,3.63
3274660,Tempus,Fantasy,Short-Stories,277,Janet E. Morris,3.9
600349,Dangerous Visions,Science-Fiction,Short-Stories,592,Harlan Ellison,4.2
20942206,Up On The Roof And Other Stories,Short-Stories,Literature,153,Judy Ann Davis,4.16
22904,The Complete Stories,Fiction,Short-Stories,486,Franz Kafka,3.89
4009,Nine Stories,Short-Stories,Fiction,198,J.D. Salinger,3.83
11012,Dubliners,Classics,Fiction,207,James Joyce,3.74
14942,Mrs. Dalloway,Classics,Fiction,194,Virginia Woolf,3.82
91659,Gabriela clavo y canela,Fiction,Cultural,325,Jorge Amado,4.01
867650,The Little Red Hen,Childrens,Childrens,24,Diane Muldrow,4.22
1355595,The Baker's Apprentice,Fiction,Food-and-Drink,384,Judi Hendricks,3.73
816486,Nightmares: Poems to Trouble Your Sleep,Poetry,Holiday,40,Jack Prelutsky,4.05
11100431,Heir of Novron,Fantasy,Fantasy,932,Michael J. Sullivan,4.31
116236,The Education of Little Tree,Fiction,Historical,228,Forrest Carter,4.11
16205758,Fallen Hopes Taken Dreams,History,Drama,336,J.M. Barlog,3.93
246245,The Deerslayer,Classics,Fiction,576,James Fenimore Cooper,3.7
13364202,At Road's End,Historical,Historical,150,Zoe Saadia,4.18
3128411,Bone Crossed,Fantasy,Fantasy,300,Patricia Briggs,4.26
41014353,Sacred Clowns,Mystery,Fiction,320,Tony Hillerman,4.04
2187343,A Prophecy Forgotten,Fantasy,Fiction,392,M.B. Weston,4.54
894111,People of the Fire,Fiction,Historical,467,W. Michael Gear,4.11
196429,Medicine River,Fiction,Cultural,249,Thomas King,4.06
582143,People of the Lightning,Historical,Fiction,608,Kathleen O'Neal Gear,4.11
5978363,And a Smile - Season One,Romance,Westerns,224,B.A. Tortuga,3.68
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Poetry,Fiction,576,Joy Harjo,4.18
13502581,Of Dark and Bright,Romance,Erotica,200,Kate Sherwood,3.89
5599115,Ride 'Em Cowboy,Romance,Westerns,117,J.P. Bowie,3.64
2870769,The Porcupine Year,Historical,Fiction,182,Louise Erdrich,3.9
303917,Zia,Historical,Young-Adult,208,Scott O'Dell,3.8
9653057,Cowboy Crush (Evans Brothers #1),Romance,Westerns,53,Eve Cassidy,3.32
18007838,Texas Winter,Romance,Westerns,213,R.J. Scott,3.89
1160780,Laughing Boy: A Navajo Love Story,Fiction,Historical,193,Oliver La Farge,3.75
52383,Storyteller,Poetry,Fiction,278,Leslie Marmon Silko,3.84
9856022,Morning Report,Romance,Westerns,220,Sue  Brown,3.76
23267144,Sanctuary,Mystery,See-top-shelves,220,Aaron Paul Lazar,4.02
6391309,Sunshine Sex and Sunflowers,Romance,Erotica,107,Carol Lynne,3.84
234072,Solar Storms,Fiction,Historical,352,Linda Hogan,4.02
1148401,Kiss of the Fur Queen,Fiction,Cultural,320,Tomson Highway,3.73
292706,Monkey Beach,Fiction,Cultural,384,Eden Robinson,3.95
5497769,Bullriders,Romance,Erotica,172,Lorne Rodman,3.41
5671925,Jenny's Passion,Romance,See-top-shelves,280,Diane Wylie,4.09
8826125,Demon Driven,Fantasy,Fantasy,252,John Conroe,4.34
2239430,Longhorns,Romance,Historical,252,Victor J. Banis,3.81
4641949,Just Plain Weird,Young-Adult,Romance,396,Tom Upton,4.03
8035262,Heaven: A Novel,Fiction,Spirituality,388,Kimberly Cain,3.77
3269793,Torn,Romance,Contemporary,108,Sage Whistler,3.37
1678741,Dawn's Awakening,Fantasy,Romance,281,Lora Leigh,4.11
6972356,Music Box Danseur,Romance,Contemporary,696,Marlene K. Slade,3.39
27590487,Chasing Memories,Christian,See-top-shelves,289,Cindy Bauer,4.14
9627782,The Cowboy Poet,Erotica,Romance,252,Claire Thompson,3.62
165446,Ride the Wind,Historical,Fiction,589,Lucia St. Clair Robson,4.23
6655491,The War of Mists,Fantasy,Fantasy,364,Robert Fanney,4.09
10284761,Welcome Home Cowboy,Romance,Westerns,76,Eden Cole,3.36
10024516,Sylvianna,Fantasy,Business,424,Keryl Raist,3.85
6536565,Cultivating Love,Romance,Romance,120,Addison Albright,3.71
5232173,Zero Summer,Poetry,Literature,84,Andrew Demcak,4.2
